publish_hour,avg_rate
19,0.04806455635982737
23,0.045849462441147126
21,0.044738672176269034
22,0.044729574409583535
20,0.04283180735892224
5,0.04153385165671066
18,0.041498628946241525
16,0.040980705068781854
17,0.040031495827019044
0,0.03971993501743443
15,0.039649228304002616
1,0.03840991499312966
9,0.03618371412229531
14,0.03583076620246357
13,0.033226715511934755
11,0.03276952213463062
3,0.03258179133884348
2,0.032018400590443453
12,0.03169336098458911
4,0.03145649773453275
8,0.029275103135197728
7,0.02875157697837083
10,0.027563011933211284
6,0.025942976496401225
